2019-3-23 15:39:57.928#viewportChange#0
2019-3-23 15:40:03.395#mousedown#{"isTrusted":true}
2019-3-23 15:40:03.403#focus#
2019-3-23 15:40:04.373#keyHandled#"Right"
2019-3-23 15:40:06.291#change#{"from":{"line":0,"ch":7,"sticky":"before"},"to":{"line":0,"ch":7,"sticky":"before"},"text":["U"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:06.497#change#{"from":{"line":0,"ch":8,"sticky":null},"to":{"line":0,"ch":8,"sticky":null},"text":["n"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:06.673#change#{"from":{"line":0,"ch":9,"sticky":null},"to":{"line":0,"ch":9,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:07.325#change#{"from":{"line":0,"ch":10,"sticky":null},"to":{"line":0,"ch":10,"sticky":null},"text":["v"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:07.434#change#{"from":{"line":0,"ch":11,"sticky":null},"to":{"line":0,"ch":11,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:07.610#change#{"from":{"line":0,"ch":12,"sticky":null},"to":{"line":0,"ch":12,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:07.877#change#{"from":{"line":0,"ch":13,"sticky":null},"to":{"line":0,"ch":13,"sticky":null},"text":["s"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:07.967#change#{"from":{"line":0,"ch":14,"sticky":null},"to":{"line":0,"ch":14,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:08.185#change#{"from":{"line":0,"ch":15,"sticky":null},"to":{"line":0,"ch":15,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:08.262#change#{"from":{"line":0,"ch":16,"sticky":null},"to":{"line":0,"ch":16,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:08.392#change#{"from":{"line":0,"ch":17,"sticky":null},"to":{"line":0,"ch":17,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:08.443#change#{"from":{"line":0,"ch":18,"sticky":null},"to":{"line":0,"ch":18,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-23 15:40:08.568#change#{"from":{"line":0,"ch":19,"sticky":null},"to":{"line":0,"ch":19,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
