2019-3-14 18:48:55.574#viewportChange#0
2019-3-14 18:49:14.870#mousedown#{"isTrusted":true}
2019-3-14 18:49:14.881#focus#
2019-3-14 18:49:23.452#mousedown#{"isTrusted":true}
2019-3-14 18:49:25.582#change#{"from":{"line":0,"ch":7,"sticky":"after","xRel":0.43743896484375},"to":{"line":0,"ch":7,"sticky":"after","xRel":0.43743896484375},"text":["u"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:27.200#change#{"from":{"line":0,"ch":7,"sticky":"after"},"to":{"line":0,"ch":8,"sticky":null},"text":[""],"removed":["u"],"origin":"+delete"}
2019-3-14 18:49:27.200#keyHandled#"Backspace"
2019-3-14 18:49:28.719#change#{"from":{"line":0,"ch":7,"sticky":null},"to":{"line":0,"ch":7,"sticky":null},"text":["U"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:30.024#change#{"from":{"line":0,"ch":8,"sticky":null},"to":{"line":0,"ch":8,"sticky":null},"text":["n"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:30.299#change#{"from":{"line":0,"ch":9,"sticky":null},"to":{"line":0,"ch":9,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:30.719#change#{"from":{"line":0,"ch":10,"sticky":null},"to":{"line":0,"ch":10,"sticky":null},"text":["v"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:31.088#change#{"from":{"line":0,"ch":11,"sticky":null},"to":{"line":0,"ch":11,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:31.359#change#{"from":{"line":0,"ch":12,"sticky":null},"to":{"line":0,"ch":12,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:33.544#change#{"from":{"line":0,"ch":13,"sticky":null},"to":{"line":0,"ch":13,"sticky":null},"text":["s"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:33.823#change#{"from":{"line":0,"ch":14,"sticky":null},"to":{"line":0,"ch":14,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:34.183#change#{"from":{"line":0,"ch":15,"sticky":null},"to":{"line":0,"ch":15,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:34.481#change#{"from":{"line":0,"ch":16,"sticky":null},"to":{"line":0,"ch":16,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:34.802#change#{"from":{"line":0,"ch":17,"sticky":null},"to":{"line":0,"ch":17,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:35.056#change#{"from":{"line":0,"ch":18,"sticky":null},"to":{"line":0,"ch":18,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:36.101#change#{"from":{"line":0,"ch":19,"sticky":null},"to":{"line":0,"ch":19,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-3-14 18:49:37.687#change#{"from":{"line":0,"ch":20,"sticky":null},"to":{"line":0,"ch":20,"sticky":null},"text":["F"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:38.697#change#{"from":{"line":0,"ch":21,"sticky":null},"to":{"line":0,"ch":21,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:39.007#change#{"from":{"line":0,"ch":22,"sticky":null},"to":{"line":0,"ch":22,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:39.305#change#{"from":{"line":0,"ch":23,"sticky":null},"to":{"line":0,"ch":23,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:39.573#change#{"from":{"line":0,"ch":24,"sticky":null},"to":{"line":0,"ch":24,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-3-14 18:49:40.146#change#{"from":{"line":0,"ch":25,"sticky":null},"to":{"line":0,"ch":25,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
