2019-3-14 19:03:42.325#viewportChange#0
2019-3-14 19:03:55.151#mousedown#{"isTrusted":true}
2019-3-14 19:03:55.165#focus#
2019-3-14 19:03:57.303#mousedown#{"isTrusted":true}
2019-3-14 19:03:57.312#contextmenu#{"isTrusted":true}
2019-3-14 19:04:01.112#blur#
2019-3-14 19:06:49.818#mousedown#{"isTrusted":true}
2019-3-14 19:06:49.823#focus#
2019-3-14 19:06:52.546#mousedown#{"isTrusted":true}
2019-3-14 19:06:54.146#change#{"from":{"line":0,"ch":7,"sticky":"after","xRel":2.609375},"to":{"line":0,"ch":7,"sticky":"after","xRel":2.609375},"text":["u"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:55.567#change#{"from":{"line":0,"ch":7,"sticky":"after"},"to":{"line":0,"ch":8,"sticky":null},"text":[""],"removed":["u"],"origin":"+delete"}
2019-3-14 19:06:55.567#keyHandled#"Backspace"
2019-3-14 19:06:56.815#change#{"from":{"line":0,"ch":7,"sticky":null},"to":{"line":0,"ch":7,"sticky":null},"text":["U"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:57.495#change#{"from":{"line":0,"ch":8,"sticky":null},"to":{"line":0,"ch":8,"sticky":null},"text":["n"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:57.744#change#{"from":{"line":0,"ch":9,"sticky":null},"to":{"line":0,"ch":9,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:58.432#change#{"from":{"line":0,"ch":10,"sticky":null},"to":{"line":0,"ch":10,"sticky":null},"text":["v"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:58.641#change#{"from":{"line":0,"ch":11,"sticky":null},"to":{"line":0,"ch":11,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:58.857#change#{"from":{"line":0,"ch":12,"sticky":null},"to":{"line":0,"ch":12,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:59.295#change#{"from":{"line":0,"ch":13,"sticky":null},"to":{"line":0,"ch":13,"sticky":null},"text":["s"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:59.518#change#{"from":{"line":0,"ch":14,"sticky":null},"to":{"line":0,"ch":14,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:59.646#change#{"from":{"line":0,"ch":15,"sticky":null},"to":{"line":0,"ch":15,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 19:06:59.814#change#{"from":{"line":0,"ch":16,"sticky":null},"to":{"line":0,"ch":16,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:00.009#change#{"from":{"line":0,"ch":17,"sticky":null},"to":{"line":0,"ch":17,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:00.230#change#{"from":{"line":0,"ch":18,"sticky":null},"to":{"line":0,"ch":18,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:00.462#change#{"from":{"line":0,"ch":19,"sticky":null},"to":{"line":0,"ch":19,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-3-14 19:07:01.599#change#{"from":{"line":0,"ch":20,"sticky":null},"to":{"line":0,"ch":20,"sticky":null},"text":["F"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:01.751#change#{"from":{"line":0,"ch":21,"sticky":null},"to":{"line":0,"ch":21,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:01.992#change#{"from":{"line":0,"ch":22,"sticky":null},"to":{"line":0,"ch":22,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:02.215#change#{"from":{"line":0,"ch":23,"sticky":null},"to":{"line":0,"ch":23,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:02.415#change#{"from":{"line":0,"ch":24,"sticky":null},"to":{"line":0,"ch":24,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:02.743#change#{"from":{"line":0,"ch":25,"sticky":null},"to":{"line":0,"ch":25,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:02.902#change#{"from":{"line":0,"ch":26,"sticky":null},"to":{"line":0,"ch":26,"sticky":null},"text":["l"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:03.667#change#{"from":{"line":0,"ch":27,"sticky":null},"to":{"line":0,"ch":27,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-3-14 19:07:03.871#change#{"from":{"line":0,"ch":28,"sticky":null},"to":{"line":0,"ch":28,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:04.078#change#{"from":{"line":0,"ch":29,"sticky":null},"to":{"line":0,"ch":29,"sticky":null},"text":["o"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:04.262#change#{"from":{"line":0,"ch":30,"sticky":null},"to":{"line":0,"ch":30,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-3-14 19:07:04.982#change#{"from":{"line":0,"ch":31,"sticky":null},"to":{"line":0,"ch":31,"sticky":null},"text":["A"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:05.550#change#{"from":{"line":0,"ch":32,"sticky":null},"to":{"line":0,"ch":32,"sticky":null},"text":["m"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:05.751#change#{"from":{"line":0,"ch":33,"sticky":null},"to":{"line":0,"ch":33,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:06.756#change#{"from":{"line":0,"ch":34,"sticky":null},"to":{"line":0,"ch":34,"sticky":null},"text":["z"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:06.982#change#{"from":{"line":0,"ch":35,"sticky":null},"to":{"line":0,"ch":35,"sticky":null},"text":["o"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:07.161#change#{"from":{"line":0,"ch":36,"sticky":null},"to":{"line":0,"ch":36,"sticky":null},"text":["n"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:07.310#change#{"from":{"line":0,"ch":37,"sticky":null},"to":{"line":0,"ch":37,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-14 19:07:07.622#change#{"from":{"line":0,"ch":38,"sticky":null},"to":{"line":0,"ch":38,"sticky":null},"text":["s"],"removed":[""],"origin":"+input"}
