2019-3-12 11:18:12.680#viewportChange#0
2019-3-12 11:19:07.104#mousedown#{"isTrusted":true}
2019-3-12 11:19:07.120#focus#
2019-3-12 11:19:09.504#keyHandled#"Left"
2019-3-12 11:19:09.973#keyHandled#"Right"
2019-3-12 11:19:11.533#change#{"from":{"line":0,"ch":7,"sticky":"before"},"to":{"line":0,"ch":7,"sticky":"before"},"text":["U"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:12.509#change#{"from":{"line":0,"ch":8,"sticky":null},"to":{"line":0,"ch":8,"sticky":null},"text":["n"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:13.097#change#{"from":{"line":0,"ch":9,"sticky":null},"to":{"line":0,"ch":9,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:13.519#change#{"from":{"line":0,"ch":10,"sticky":null},"to":{"line":0,"ch":10,"sticky":null},"text":["v"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:13.694#change#{"from":{"line":0,"ch":11,"sticky":null},"to":{"line":0,"ch":11,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:15.003#change#{"from":{"line":0,"ch":12,"sticky":null},"to":{"line":0,"ch":12,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:15.386#change#{"from":{"line":0,"ch":13,"sticky":null},"to":{"line":0,"ch":13,"sticky":null},"text":["s"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:15.566#change#{"from":{"line":0,"ch":14,"sticky":null},"to":{"line":0,"ch":14,"sticky":null},"text":["i"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:15.708#change#{"from":{"line":0,"ch":15,"sticky":null},"to":{"line":0,"ch":15,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:15.844#change#{"from":{"line":0,"ch":16,"sticky":null},"to":{"line":0,"ch":16,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:16.061#change#{"from":{"line":0,"ch":17,"sticky":null},"to":{"line":0,"ch":17,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:16.215#change#{"from":{"line":0,"ch":18,"sticky":null},"to":{"line":0,"ch":18,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-3-12 11:19:17.225#change#{"from":{"line":0,"ch":19,"sticky":null},"to":{"line":0,"ch":19,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
