2019-6-12 15:19:07.802#viewportChange#0
2019-6-12 15:19:08.251#mousedown#{"isTrusted":true}
2019-6-12 15:19:08.260#focus#
2019-6-12 15:19:08.647#change#{"from":{"line":0,"ch":0,"sticky":"after","xRel":118.609375},"to":{"line":0,"ch":0,"sticky":"after","xRel":118.609375},"text":["from numpy import*","from math import*","a = array(eval(input(\"tey:\")))","p = 1","med = sum(a)/size(a)","n = size(a)","for y in a:","\tp = p*abs(y-med)","p = p**(1/n)","print(round(p,3))"],"removed":[""],"origin":"paste"}
2019-6-12 15:19:08.672#viewportChange#0
2019-6-12 15:19:09.669#blur#
2019-6-12 15:19:10.651#focus#
2019-6-12 15:19:11.671#blur#
2019-6-12 15:19:17.329#focus#
2019-6-12 15:19:17.693#blur#
2019-6-12 15:20:59.031#viewportChange#0
2019-6-12 15:23:10.246#mousedown#{"isTrusted":true}
2019-6-12 15:23:10.259#focus#
2019-6-12 15:23:10.412#mousedown#{"isTrusted":true}
2019-6-12 15:23:10.554#dblclick#{"isTrusted":true}
2019-6-12 15:23:12.718#keyHandled#"Right"
2019-6-12 15:23:14.002#change#{"from":{"line":2,"ch":22,"sticky":null},"to":{"line":2,"ch":26,"sticky":"before"},"text":["b"],"removed":["tey:"],"origin":"+input"}
2019-6-12 15:23:14.130#change#{"from":{"line":2,"ch":23,"sticky":null},"to":{"line":2,"ch":23,"sticky":null},"text":["o"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.208#change#{"from":{"line":2,"ch":24,"sticky":null},"to":{"line":2,"ch":24,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.298#change#{"from":{"line":2,"ch":25,"sticky":null},"to":{"line":2,"ch":25,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.372#change#{"from":{"line":2,"ch":26,"sticky":null},"to":{"line":2,"ch":26,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.492#change#{"from":{"line":2,"ch":27,"sticky":null},"to":{"line":2,"ch":27,"sticky":null},"text":["b"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.553#change#{"from":{"line":2,"ch":28,"sticky":null},"to":{"line":2,"ch":28,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.680#change#{"from":{"line":2,"ch":29,"sticky":null},"to":{"line":2,"ch":29,"sticky":null},"text":["t"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.757#change#{"from":{"line":2,"ch":30,"sticky":null},"to":{"line":2,"ch":30,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.891#change#{"from":{"line":2,"ch":31,"sticky":null},"to":{"line":2,"ch":31,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:14.969#change#{"from":{"line":2,"ch":32,"sticky":null},"to":{"line":2,"ch":32,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-6-12 15:23:15.022#change#{"from":{"line":2,"ch":33,"sticky":null},"to":{"line":2,"ch":33,"sticky":null},"text":["u"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:15.173#change#{"from":{"line":2,"ch":34,"sticky":null},"to":{"line":2,"ch":34,"sticky":null},"text":["m"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:15.266#change#{"from":{"line":2,"ch":35,"sticky":null},"to":{"line":2,"ch":35,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:15.913#change#{"from":{"line":2,"ch":36,"sticky":null},"to":{"line":2,"ch":36,"sticky":null},"text":[" "],"removed":[""],"origin":"+input"}
2019-6-12 15:23:16.007#change#{"from":{"line":2,"ch":37,"sticky":null},"to":{"line":2,"ch":37,"sticky":null},"text":["p"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:16.062#change#{"from":{"line":2,"ch":38,"sticky":null},"to":{"line":2,"ch":38,"sticky":null},"text":["e"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:16.235#change#{"from":{"line":2,"ch":39,"sticky":null},"to":{"line":2,"ch":39,"sticky":null},"text":["d"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:16.372#change#{"from":{"line":2,"ch":40,"sticky":null},"to":{"line":2,"ch":40,"sticky":null},"text":["r"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:16.466#change#{"from":{"line":2,"ch":41,"sticky":null},"to":{"line":2,"ch":41,"sticky":null},"text":["a"],"removed":[""],"origin":"+input"}
2019-6-12 15:23:17.810#change#{"from":{"line":2,"ch":42,"sticky":null},"to":{"line":2,"ch":42,"sticky":null},"text":[":"],"removed":[""],"origin":"+input"}
